  Others,54400,45300,36400,40800,36500,33900,36800,34400,33000,27500,24100,20900,20300,19300,20000,18300,14300,13900,13200,15800,12000,10200,10500,10000,14300,14800,12400
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions and Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data for 1990, 2000, 2010 and 2020 are based on the Census of Population while data for 1995, 2005 and 2015 are based on the General Household Survey. Data for all other years are based on the Comprehensive June Labour Force Survey. Survey estimates are subject to sampling variability.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Resident Households -> Married Couple-Based With Children (Number):,,,,,,,,,,,,,,,,,,,,,,,,,,,
Married couple-based with children households refer to households with a married household reference person and spouse living with children.,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resident Households -> Married Couple-Based Without Children (Number):,,,,,,,,,,,,,,,,,,,,,,,,,,,
Married couple-based without children households refer to households with a married household reference person and spouse not living with children.  This includes households whereby children of the household reference person have grown up and moved out from the parental home.,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resident Households -> Lone Parent (Number):,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lone-parent households refer to households whose household reference person is never-married/widowed/divorced/separated and living with children below 16 years or never-married children.,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resident Households -> Living Alone (Number):,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Living alone households refer to one-person households.  Examples include single persons living alone, or ever-married persons who live alone as their children have grown up and moved out from the parental home.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Resident Households -> Others (Number):,,,,,,,,,,,,,,,,,,,,,,,,,,,
All other households that do not fall under any of the above household living arrangement categories. Examples include: 1) A divorced household reference person living with elderly parents only. 2) A widowed household reference person living with the son and daughter-in-law. 3) A never-married household reference person living with never-married siblings. 4) A household reference person living with unrelated persons only.,,,,,,,,,,,,,,,,,,,,,,,,,,,
Household Reference Persons Aged Below 35 Years -> Married Couple-Based With Children (Number):,,,,,,,,,,,,,,,,,,,,,,,,,,,
Married couple-based with children households refer to households with a married household reference person and spouse living with children.,,,,,,,,,,,,,,,,,,,,,,,,,,,
Household Reference Persons Aged Below 35 Years -> Married Couple-Based Without Children (Number):,,,,,,,,,,,,,,,,,,,,,,,,,,,
Married couple-based without children households refer to households with a married household reference person and spouse not living with children.  This includes households whereby children of the household reference person have grown up and moved out from the parental home.,,,,,,,,,,,,,,,,,,,,,,,,,,,
Household Reference Persons Aged Below 35 Years -> Lone Parent (Number):,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lone-parent households refer to households whose household reference person is never-married/widowed/divorced/separated and living with children below 16 years or never-married children.,,,,,,,,,,,,,,,,,,,,,,,,,,,
Household Reference Persons Aged Below 35 Years -> Living Alone (Number):,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Living alone households refer to one-person households.  Examples include single persons living alone, or ever-married persons who live alone as their children have grown up and moved out from the parental home.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Household Reference Persons Aged Below 35 Years -> Others (Number):,,,,,,,,,,,,,,,,,,,,,,,,,,,
All other households that do not fall under any of the above household living arrangement categories. Examples include: 1) A divorced household reference person living with elderly parents only. 2) A widowed household reference person living with the son and daughter-in-law. 3) A never-married household reference person living with never-married siblings. 4) A household reference person living with unrelated persons only.,,,,,,,,,,,,,,,,,,,,,,,,,,,
Household Reference Persons Aged 35-49 Years -> Married Couple-Based With Children (Number):,,,,,,,,,,,,,,,,,,,,,,,,,,,
Married couple-based with children households refer to households with a married household reference person and spouse living with children.,,,,,,,,,,,,,,,,,,,,,,,,,,,
Household Reference Persons Aged 35-49 Years -> Married Couple-Based Without Children (Number):,,,,,,,,,,,,,,,,,,,,,,,,,,,
Married couple-based without children households refer to households with a married household reference person and spouse not living with children.  This includes households whereby children of the household reference person have grown up and moved out from the parental home.,,,,,,,,,,,,,,,,,,,,,,,,,,,
Household Reference Persons Aged 35-49 Years -> Lone Parent (Number):,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lone-parent households refer to households whose household reference person is never-married/widowed/divorced/separated and living with children below 16 years or never-married children.,,,,,,,,,,,,,,,,,,,,,,,,,,,
Household Reference Persons Aged 35-49 Years -> Living Alone (Number):,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Living alone households refer to one-person households.  Examples include single persons living alone, or ever-married persons who live alone as their children have grown up and moved out from the parental home.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Household Reference Persons Aged 35-49 Years -> Others (Number):,,,,,,,,,,,,,,,,,,,,,,,,,,,
All other households that do not fall under any of the above household living arrangement categories. Examples include: 1) A divorced household reference person living with elderly parents only. 2) A widowed household reference person living with the son and daughter-in-law. 3) A never-married household reference person living with never-married siblings. 4) A household reference person living with unrelated persons only.,,,,,,,,,,,,,,,,,,,,,,,,,,,
Household Reference Persons Aged 50-64 Years -> Married Couple-Based With Children (Number):,,,,,,,,,,,,,,,,,,,,,,,,,,,
Married couple-based with children households refer to households with a married household reference person and spouse living with children.,,,,,,,,,,,,,,,,,,,,,,,,,,,
Household Reference Persons Aged 50-64 Years -> Married Couple-Based Without Children (Number):,,,,,,,,,,,,,,,,,,,,,,,,,,,
Married couple-based without children households refer to households with a married household reference person and spouse not living with children.  This includes households whereby children of the household reference person have grown up and moved out from the parental home.,,,,,,,,,,,,,,,,,,,,,,,,,,,
Household Reference Persons Aged 50-64 Years -> Lone Parent (Number):,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lone-parent households refer to households whose household reference person is never-married/widowed/divorced/separated and living with children below 16 years or never-married children.,,,,,,,,,,,,,,,,,,,,,,,,,,,
Household Reference Persons Aged 50-64 Years -> Living Alone (Number):,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Living alone households refer to one-person households.  Examples include single persons living alone, or ever-married persons who live alone as their children have grown up and moved out from the parental home.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Household Reference Persons Aged 50-64 Years -> Others (Number):,,,,,,,,,,,,,,,,,,,,,,,,,,,
All other households that do not fall under any of the above household living arrangement categories. Examples include: 1) A divorced household reference person living with elderly parents only. 2) A widowed household reference person living with the son and daughter-in-law. 3) A never-married household reference person living with never-married siblings. 4) A household reference person living with unrelated persons only.,,,,,,,,,,,,,,,,,,,,,,,,,,,
